"","word","freq"
"cima","cima",32
"começar","começar",32
"deixar","deixar",32
"doido","doido",32
"fico","fico",32
"história","história",32
"nenhuma","nenhuma",32
"pau","pau",32
"planos","planos",32
"simples","simples",32
"dicção","dicção",31
"favor","favor",31
"indo","indo",31
"mto","mto",31
"noite","noite",31
"papo","papo",31
"resposta","resposta",31
"super","super",31
"tebet","tebet",31
"economia","economia",30
"engraçado","engraçado",30
"kkkkkkkk","kkkkkkkk",30
"longe","longe",30
"mãe","mãe",30
"mínima","mínima",30
"mínimo","mínimo",30
"tentar","tentar",30
"triste","triste",30
"vejo","vejo",30
"“","“",30
"caso","caso",29
"democracia","democracia",29
"força","força",29
"interessante","interessante",29
"negar","negar",29
"olhar","olhar",29
"questão","questão",29
"usar","usar",29
"última","última",29
"acontecer","acontecer",28
"amigo","amigo",28
"corrupção","corrupção",28
"desde","desde",28
"dizendo","dizendo",28
"entrevistas","entrevistas",28
"kkk","kkk",28
"passando","passando",28
"pensando","pensando",28
"pessoal","pessoal",28
"prefiro","prefiro",28
"william","william",28
"ótimo","ótimo",28
"algum","algum",27
"brasileira","brasileira",27
"duas","duas",27
"estado","estado",27
"jairbolsonaro","jairbolsonaro",27
"lei","lei",27
"tentando","tentando",27
"tira","tira",27
"totalmente","totalmente",27
"achando","achando",26
"apoio","apoio",26
"bonito","bonito",26
"brasileiros","brasileiros",26
"chances","chances",26
"enquanto","enquanto",26
"governador","governador",26
"haddad","haddad",26
"jogo","jogo",26
"linguagem","linguagem",26
"lábia","lábia",26
"pensar","pensar",26
"plebiscito","plebiscito",26
"problemas","problemas",26
"próprio","próprio",26
"responder","responder",26
"sai","sai",26
"sonho","sonho",26
"talvez","talvez",26
"acabar","acabar",25
"acredito","acredito",25
"apesar","apesar",25
"consigo","consigo",25
"dinheiro","dinheiro",25
"eleitor","eleitor",25
"fim","fim",25
"fome","fome",25
"jornalistas","jornalistas",25
"lado","lado",25
"poderia","poderia",25
"primeira","primeira",25
"respeito","respeito",25
"auxílio","auxílio",24
"chato","chato",24
"futuro","futuro",24
"logo","logo",24
"medo","medo",24
"muitos","muitos",24
"população","população",24
"responde","responde",24
"respostas","respostas",24
"tbm","tbm",24
"tendo","tendo",24
"tomou","tomou",24
"calmo","calmo",23
"chegou","chegou",23
"conseguiu","conseguiu",23
"direita","direita",23
"dms","dms",23
"educado","educado",23
"extremamente","extremamente",23
"geral","geral",23
"jair","jair",23
"kkkkkkkkk","kkkkkkkkk",23
"mariecrfxx","mariecrfxx",23
"mente","mente",23
"mentiras","mentiras",23
"popular","popular",23
"quiser","quiser",23
"raiva","raiva",23
"rede","rede",23
"ricos","ricos",23
"utopia","utopia",23
"vice","vice",23
