"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","class"
"86",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"87",0,0,0,0,1,0,0,1,0,1,"POSITIVO"
"88",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"89",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"90",0,0,3,0,0,2,0,2,5,3,"NEGATIVO"
"91",0,0,0,0,0,0,0,1,0,2,"POSITIVO"
"92",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"93",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"94",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"95",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"96",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"97",0,0,0,0,0,1,0,0,1,0,"NEGATIVO"
"98",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"99",0,0,0,1,0,0,0,0,0,0,"NEUTRO"
"100",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"101",0,0,0,0,0,2,1,0,2,2,"NEUTRO"
"102",0,0,0,0,0,1,0,1,1,2,"POSITIVO"
"103",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"104",0,0,0,0,0,0,0,1,0,2,"POSITIVO"
"105",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"106",2,0,1,0,0,0,0,0,2,0,"NEGATIVO"
"107",1,0,0,1,0,2,0,1,1,2,"POSITIVO"
"108",0,0,0,0,0,0,0,0,1,2,"POSITIVO"
"109",0,1,0,0,0,0,0,1,0,1,"POSITIVO"
"110",2,0,2,2,0,0,1,1,2,2,"NEUTRO"
"111",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"112",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"113",0,2,0,1,1,0,1,1,1,1,"NEUTRO"
"114",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"115",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"116",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"117",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"118",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"119",1,0,1,1,0,1,1,0,1,0,"NEGATIVO"
"120",0,0,0,0,0,0,0,1,0,0,"NEUTRO"
"121",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"122",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"123",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"124",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"125",0,0,0,0,0,0,0,0,1,0,"NEGATIVO"
"126",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"127",0,1,0,0,0,0,0,0,1,0,"NEGATIVO"
"128",0,0,0,0,0,0,1,0,0,0,"NEUTRO"
"129",0,0,0,0,0,0,0,2,0,2,"POSITIVO"
"130",1,2,0,0,2,1,1,2,1,2,"POSITIVO"
"131",0,0,0,0,0,0,0,0,1,0,"NEGATIVO"
"132",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"133",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"134",0,1,0,1,1,1,0,4,1,3,"POSITIVO"
"135",0,0,0,0,0,0,0,1,0,0,"NEUTRO"
"136",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"137",0,0,0,0,0,1,0,5,1,5,"POSITIVO"
"138",1,1,0,1,0,2,0,1,1,0,"NEGATIVO"
"139",0,0,0,0,0,0,0,1,0,0,"NEUTRO"
"140",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"141",0,0,0,0,0,0,0,0,1,0,"NEGATIVO"
"142",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"143",0,0,0,0,0,1,0,0,1,0,"NEGATIVO"
"144",0,0,0,0,0,0,0,2,0,2,"POSITIVO"
"145",0,0,0,0,0,0,0,0,0,2,"POSITIVO"
"146",0,1,0,0,1,0,0,1,0,1,"POSITIVO"
"147",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"148",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"149",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"150",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"151",0,0,0,0,0,1,0,0,1,0,"NEGATIVO"
"152",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"153",0,0,0,0,0,0,0,0,2,0,"NEGATIVO"
"154",1,0,0,1,0,1,0,0,2,0,"NEGATIVO"
"155",0,0,0,0,0,0,1,0,0,1,"POSITIVO"
"156",1,2,1,1,2,2,1,2,3,2,"NEGATIVO"
"157",0,0,0,0,0,0,0,0,1,0,"NEGATIVO"
"158",0,0,0,0,0,0,0,2,0,2,"POSITIVO"
"159",1,2,0,0,2,1,1,4,1,4,"POSITIVO"
"160",0,0,0,0,0,0,0,0,0,1,"POSITIVO"
"161",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"162",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"163",0,0,1,0,0,0,0,0,1,0,"NEGATIVO"
"164",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"165",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"166",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"167",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"168",0,0,0,0,0,0,0,1,0,0,"NEUTRO"
"169",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"170",0,0,0,1,0,1,0,1,1,1,"NEUTRO"
"171",0,0,0,0,0,0,0,0,1,0,"NEGATIVO"
"172",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"173",0,0,0,0,0,0,0,0,0,0,"NEUTRO"
"174",0,0,0,0,0,0,0,1,0,0,"NEUTRO"
