"","word","freq"
"tadinha","tadinha",24
"talvez","talvez",24
"vcs","vcs",24
"vezes","vezes",24
"apoia","apoia",23
"conta","conta",23
"democracia","democracia",23
"espero","espero",23
"esquerda","esquerda",23
"feminina","feminina",23
"forma","forma",23
"fácil","fácil",23
"horas","horas",23
"milhões","milhões",23
"muita","muita",23
"nenhum","nenhum",23
"possível","possível",23
"responder","responder",23
"silva","silva",23
"simplesmente","simplesmente",23
"sério","sério",23
"tal","tal",23
"tava","tava",23
"tentando","tentando",23
"articulada","articulada",22
"boas","boas",22
"coisas","coisas",22
"conseguiu","conseguiu",22
"disputa","disputa",22
"ganha","ganha",22
"ideia","ideia",22
"moro","moro",22
"passado","passado",22
"perguntar","perguntar",22
"porém","porém",22
"resposta","resposta",22
"sabatinas","sabatinas",22
"senado","senado",22
"soraya","soraya",22
"vejo","vejo",22
"vontade","vontade",22
"alguns","alguns",21
"carisma","carisma",21
"começar","começar",21
"defendeu","defendeu",21
"equipe","equipe",21
"existe","existe",21
"feminismo","feminismo",21
"ideias","ideias",21
"impressão","impressão",21
"lembra","lembra",21
"mudar","mudar",21
"nesta","nesta",21
"passa","passa",21
"poderia","poderia",21
"reforma","reforma",21
"uns","uns",21
"ótima","ótima",21
"…","…",21
"bonita","bonita",20
"circo","circo",20
"claro","claro",20
"colocar","colocar",20
"dona","dona",20
"dúvida","dúvida",20
"fica","fica",20
"jogo","jogo",20
"kkkkkk","kkkkkk",20
"projetos","projetos",20
"sono","sono",20
"tendo","tendo",20
"twitter","twitter",20
"️","️",20
"assisti","assisti",19
"aula","aula",19
"conheço","conheço",19
"diferente","diferente",19
"esqueci","esqueci",19
"família","família",19
"posso","posso",19
"pqp","pqp",19
"tentar","tentar",19
"vasconcellos","vasconcellos",19
"alguma","alguma",18
"band","band",18
"brasileira","brasileira",18
"conhece","conhece",18
"coração","coração",18
"debates","debates",18
"deixar","deixar",18
"dicção","dicção",18
"dividendos","dividendos",18
"durante","durante",18
"força","força",18
"kkk","kkk",18
"merda","merda",18
"mostra","mostra",18
"ouvindo","ouvindo",18
"pauta","pauta",18
"pensando","pensando",18
"pessoal","pessoal",18
"professora","professora",18
"própria","própria",18
"real","real",18
"realmente","realmente",18
"respostas","respostas",18
"semana","semana",18
"tebet…","tebet…",18
"veja","veja",18
"vera","vera",18
"vice","vice",18
"acaba","acaba",17
"apoiar","apoiar",17
"atenção","atenção",17
"cenário","cenário",17
"chances","chances",17
"chata","chata",17
"desse","desse",17
"fim","fim",17
"leite","leite",17
"medo","medo",17
"mente","mente",17
"mto","mto",17
"outras","outras",17
"pandemia","pandemia",17
"responde","responde",17
"tapete","tapete",17
"time","time",17
"total","total",17
"usando","usando",17
"vale","vale",17
"‍️","‍️",17
"agronegócio","agronegócio",16
"apresentar","apresentar",16
"congresso","congresso",16
"conhecer","conhecer",16
"defender","defender",16
"dra","dra",16
"economia","economia",16
"esqueceu","esqueceu",16
"excelente","excelente",16
"foda","foda",16
"inclusive","inclusive",16
"intenções","intenções",16
"jamais","jamais",16
"lado","lado",16
"linda","linda",16
"maioria","maioria",16
"min","min",16
"mostrou","mostrou",16
"participar","participar",16
"passou","passou",16
"pontos","pontos",16
"porra","porra",16
"rousseff","rousseff",16
"super","super",16
"totalmente","totalmente",16
"três","três",16
"vencer","vencer",16
"bancada","bancada",15
"cabeça","cabeça",15
"chamar","chamar",15
"chapa","chapa",15
"classe","classe",15
"corruptos","corruptos",15
"daqui","daqui",15
"deixou","deixou",15
"diferença","diferença",15
"esperar","esperar",15
"felipe","felipe",15
"filha","filha",15
"genocida","genocida",15
"golpista","golpista",15
"incrível","incrível",15
"inédito","inédito",15
"jair","jair",15
"ladrão","ladrão",15
"mano","mano",15
"mato","mato",15
"mensalão","mensalão",15
"meteu","meteu",15
"miriamleitao","miriamleitao",15
"nessas","nessas",15
"partidos","partidos",15
"perdeu","perdeu",15
"preciso","preciso",15
"resumo","resumo",15
"stf","stf",15
"umas","umas",15
"vasconcelos","vasconcelos",15
"acredita","acredita",14
"ansioso","ansioso",14
"apesar","apesar",14
"apoiou","apoiou",14
"após","após",14
"assunto","assunto",14
"brasileiros","brasileiros",14
"capaz","capaz",14
"coragem","coragem",14
"dados","dados",14
"desculpa","desculpa",14
"entrevistar","entrevistar",14
"esperando","esperando",14
"ganhou","ganhou",14
"grosso","grosso",14
"impressionante","impressionante",14
"lembrar","lembrar",14
"longe","longe",14
"manzano","manzano",14
"mão","mão",14
"parabéns","parabéns",14
"paulo","paulo",14
"promessas","promessas",14
"promete","promete",14
"querendo","querendo",14
"querer","querer",14
"rconstantino","rconstantino",14
"sai","sai",14
"sal","sal",14
"sra","sra",14
"tabela","tabela",14
"tarde","tarde",14
"triste","triste",14
"zero","zero",14
"última","última",14
"único","único",14
"absolutamente","absolutamente",13
"acredito","acredito",13
"banguela","banguela",13
"basta","basta",13
"bater","bater",13
"bora","bora",13
"café","café",13
"centro","centro",13
"chegar","chegar",13
"corte","corte",13
"davila","davila",13
"dias","dias",13
"feminista","feminista",13
"fila","fila",13
"forte","forte",13
"irmã","irmã",13
"irá","irá",13
"kkkkkkk","kkkkkkk",13
"liga","liga",13
"lucros","lucros",13
"lúcia","lúcia",13
"merece","merece",13
"mil","mil",13
"opinião","opinião",13
"palavras","palavras",13
"passando","passando",13
"pau","pau",13
"pautas","pautas",13
"pdt","pdt",13
"pedir","pedir",13
"pegar","pegar",13
"podia","podia",13
"políticos","políticos",13
"postura","postura",13
"prefeita","prefeita",13
"psdb","psdb",13
"pública","pública",13
"querem","querem",13
"relação","relação",13
"renda","renda",13
"respondeu","respondeu",13
"sabemos","sabemos",13
"saco","saco",13
"saúde","saúde",13
"sido","sido",13
"subir","subir",13
"sul","sul",13
"série","série",13
"taxação","taxação",13
"terra","terra",13
"uolnoticias","uolnoticias",13
"várias","várias",13
"youtube","youtube",13
"acompanhar","acompanhar",12
"alma","alma",12
"bobo","bobo",12
"bonito","bonito",12
"caralho","caralho",12
"citou","citou",12
"claramente","claramente",12
"concorrendo","concorrendo",12
"conversa","conversa",12
"deixa","deixa",12
"democrático","democrático",12
"domingo","domingo",12
"entendendo","entendendo",12
"entender","entender",12
"errado","errado",12
"erro","erro",12
"extremamente","extremamente",12
"fake","fake",12
"faria","faria",12
"fico","fico",12
"firme","firme",12
"foco","foco",12
"gosta","gosta",12
"governador","governador",12
"homens","homens",12
"importa","importa",12
"iria","iria",12
"lembro","lembro",12
"lixo","lixo",12
"lulanojn","lulanojn",12
"mandato","mandato",12
"nervosa","nervosa",12
"news","news",12
"nova","nova",12
"opções","opções",12
"participa","participa",12
"pensar","pensar",12
"perde","perde",12
"perguntando","perguntando",12
"porta","porta",12
"praticamente","praticamente",12
"péssima","péssima",12
"questão","questão",12
"questões","questões",12
"realidade","realidade",12
"rede","rede",12
"representatividade","representatividade",12
"resolver","resolver",12
"rio","rio",12
"sabia","sabia",12
"saindo","saindo",12
"simaria","simaria",12
"simonetebet","simonetebet",12
"sofia","sofia",12
"tema","tema",12
"thronicke","thronicke",12
"tributária","tributária",12
"usar","usar",12
"veio","veio",12
"virar","virar",12
"virou","virou",12
"william","william",12
"apoiando","apoiando",11
"assistiu","assistiu",11
"atrás","atrás",11
"bandido","bandido",11
"caciques","caciques",11
"certo","certo",11
"chamando","chamando",11
"completamente","completamente",11
"conhecida","conhecida",11
"debater","debater",11
"desses","desses",11
"direito","direito",11
"dó","dó",11
"engraçado","engraçado",11
"entrar","entrar",11
"escutar","escutar",11
"espaço","espaço",11
"estaria","estaria",11
"etc","etc",11
"final","final",11
"fisiológico","fisiológico",11
"fizeram","fizeram",11
"frase","frase",11
"jairbolsonaro","jairbolsonaro",11
"juntos","juntos",11
"luta","luta",11
"mínimo","mínimo",11
"nulo","nulo",11
"ouvi","ouvi",11
"papo","papo",11
"participação","participação",11
"perdida","perdida",11
"perfeita","perfeita",11
"podem","podem",11
"preguiça","preguiça",11
"presidencial","presidencial",11
"presidenciável","presidenciável",11
"principais","principais",11
"pros","pros",11
"próxima","próxima",11
"puxar","puxar",11
"público","público",11
"quis","quis",11
"saiu","saiu",11
"sextou","sextou",11
"sinto","sinto",11
"situação","situação",11
"taxar","taxar",11
"teto","teto",11
"uol","uol",11
"vive","vive",11
"voz","voz",11
"acabei","acabei",10
"afirma","afirma",10
"ajuda","ajuda",10
"ajudou","ajudou",10
"algum","algum",10
"ali","ali",10
