"","Bolsonaro","Lula","Ciro","Tebet"
"2936","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"4659","POSITIVO","POSITIVO","NEUTRO","POSITIVO"
"234","NEGATIVO","NEGATIVO","POSITIVO","NEUTRO"
"5470","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4606","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"8198","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"3243","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"5131","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"4433","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"6355","NEUTRO","NEGATIVO","NEGATIVO","NEUTRO"
"3807","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"8988","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"5916","NEGATIVO","POSITIVO","NEUTRO","POSITIVO"
"1143","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"3443","NEUTRO","NEGATIVO","POSITIVO","NEUTRO"
"4167","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"5270","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"3274","NEGATIVO","NEUTRO","NEUTRO","NEGATIVO"
"2512","NEUTRO","POSITIVO","POSITIVO","NEGATIVO"
"1354","POSITIVO","NEUTRO","NEGATIVO","POSITIVO"
"7342","NEGATIVO","NEGATIVO","POSITIVO","NEGATIVO"
"1352","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"3292","NEUTRO","NEGATIVO","NEGATIVO","NEUTRO"
"8431","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4199","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"9159","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"2965","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"6987","NEUTRO","NEGATIVO","NEGATIVO","NEUTRO"
"6499","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"6378","POSITIVO","NEGATIVO","NEUTRO","NEGATIVO"
"952","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"8481","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"2091","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"3636","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"8648","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"558","POSITIVO","NEUTRO","NEUTRO","POSITIVO"
"8796","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"4002","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"920","POSITIVO","NEUTRO","POSITIVO","NEGATIVO"
"8421","NEUTRO","POSITIVO","NEGATIVO","NEGATIVO"
"8937","NEGATIVO","NEUTRO","POSITIVO","NEGATIVO"
"9173","NEUTRO","NEUTRO","NEGATIVO","NEGATIVO"
"3314","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"6135","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"2926","NEGATIVO","NEGATIVO","NEUTRO","NEGATIVO"
"1881","NEGATIVO","POSITIVO","NEUTRO","NEGATIVO"
"8882","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"8978","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"8634","NEGATIVO","NEGATIVO","NEGATIVO","NEUTRO"
"5240","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"841","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"883","NEGATIVO","NEUTRO","NEUTRO","NEGATIVO"
"1412","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"5827","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"6088","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"246","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"8895","NEUTRO","POSITIVO","POSITIVO","POSITIVO"
"8568","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"8948","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"6052","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"7560","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"4461","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
