"","Bolsonaro","Lula","Ciro","Tebet"
"8118","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"6670","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"9049","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"4458","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"67","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4551","NEGATIVO","NEGATIVO","NEUTRO","POSITIVO"
"5444","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"1963","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"8499","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"4935","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"5773","NEGATIVO","POSITIVO","POSITIVO","POSITIVO"
"5512","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"2300","POSITIVO","NEGATIVO","POSITIVO","NEGATIVO"
"1386","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"6267","POSITIVO","POSITIVO","POSITIVO","NEUTRO"
"1211","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"5565","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"4069","NEUTRO","POSITIVO","POSITIVO","NEGATIVO"
"5184","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"4637","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"7576","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"8388","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"1202","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"4182","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"4210","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"5997","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"326","NEUTRO","NEGATIVO","POSITIVO","NEGATIVO"
"4729","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"564","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"3908","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"5868","NEGATIVO","NEUTRO","POSITIVO","NEGATIVO"
"8114","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"4885","POSITIVO","NEUTRO","NEGATIVO","POSITIVO"
"6532","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"502","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"7791","NEGATIVO","NEGATIVO","POSITIVO","NEUTRO"
"5098","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"1768","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"7678","NEGATIVO","NEUTRO","NEGATIVO","NEGATIVO"
"7101","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"4391","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4609","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"5685","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"7725","NEUTRO","POSITIVO","POSITIVO","POSITIVO"
"8950","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"7310","NEGATIVO","NEGATIVO","POSITIVO","POSITIVO"
"9117","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"8491","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"6500","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"3289","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"283","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"4389","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"2642","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"5416","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"2972","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"2340","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"9038","NEGATIVO","NEUTRO","NEGATIVO","POSITIVO"
"8785","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"8852","NEGATIVO","POSITIVO","NEUTRO","POSITIVO"
"7544","NEGATIVO","NEGATIVO","NEUTRO","NEUTRO"
"5323","NEUTRO","POSITIVO","POSITIVO","NEGATIVO"
"6095","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"5969","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"2101","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"980","NEUTRO","NEGATIVO","POSITIVO","NEUTRO"
"6216","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"7715","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"3985","NEUTRO","POSITIVO","NEUTRO","NEGATIVO"
"2491","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"2854","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"2557","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"43","NEUTRO","NEGATIVO","NEGATIVO","NEGATIVO"
"1736","POSITIVO","NEGATIVO","NEGATIVO","NEUTRO"
"1737","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"3040","NEUTRO","POSITIVO","NEGATIVO","NEGATIVO"
"8909","NEGATIVO","NEGATIVO","NEUTRO","POSITIVO"
"7610","POSITIVO","NEUTRO","NEGATIVO","POSITIVO"
"996","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"2233","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"2745","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"7880","NEUTRO","POSITIVO","POSITIVO","POSITIVO"
"5395","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"5493","NEUTRO","POSITIVO","NEGATIVO","POSITIVO"
"1982","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"868","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"6606","POSITIVO","POSITIVO","POSITIVO","POSITIVO"
"4226","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"8044","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"6472","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"3765","NEGATIVO","NEGATIVO","NEUTRO","NEGATIVO"
"376","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"3497","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"1636","NEGATIVO","POSITIVO","NEGATIVO","NEUTRO"
"2104","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"7934","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"7228","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"2298","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"3101","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"4777","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"7457","NEGATIVO","POSITIVO","NEGATIVO","POSITIVO"
"5751","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"4254","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"6823","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"3484","POSITIVO","NEUTRO","NEUTRO","POSITIVO"
"7309","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4136","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"6269","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"4171","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"7745","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4072","POSITIVO","NEUTRO","NEGATIVO","NEGATIVO"
"7022","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"4580","NEGATIVO","NEUTRO","NEGATIVO","NEGATIVO"
"6076","NEUTRO","NEGATIVO","NEGATIVO","POSITIVO"
"3889","NEGATIVO","NEGATIVO","POSITIVO","NEUTRO"
"993","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"35","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"731","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"7583","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"8252","NEUTRO","POSITIVO","NEUTRO","NEGATIVO"
"371","POSITIVO","POSITIVO","NEUTRO","NEGATIVO"
"1001","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"90","POSITIVO","NEGATIVO","POSITIVO","POSITIVO"
"1633","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"5401","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"8246","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"7224","NEUTRO","POSITIVO","NEGATIVO","NEGATIVO"
"8023","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"2819","NEGATIVO","NEGATIVO","NEUTRO","NEGATIVO"
"6157","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"6069","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"4395","NEUTRO","NEGATIVO","NEUTRO","POSITIVO"
"5448","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"4685","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"1243","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"1458","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"745","POSITIVO","NEGATIVO","NEUTRO","NEUTRO"
"7281","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"8673","POSITIVO","NEGATIVO","NEUTRO","POSITIVO"
"1910","POSITIVO","NEGATIVO","POSITIVO","NEGATIVO"
"7723","NEGATIVO","POSITIVO","POSITIVO","NEGATIVO"
"7412","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"1629","NEUTRO","NEUTRO","NEGATIVO","NEGATIVO"
"5280","POSITIVO","NEUTRO","POSITIVO","NEGATIVO"
"1931","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"876","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"5495","NEGATIVO","POSITIVO","NEUTRO","NEGATIVO"
"9027","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"3857","NEUTRO","POSITIVO","POSITIVO","POSITIVO"
"8498","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"2496","POSITIVO","NEGATIVO","POSITIVO","POSITIVO"
"2293","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"4127","POSITIVO","POSITIVO","NEGATIVO","NEGATIVO"
"8901","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"3229","NEUTRO","NEGATIVO","NEGATIVO","NEGATIVO"
"1870","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"7866","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4203","POSITIVO","NEGATIVO","NEUTRO","POSITIVO"
"8458","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"3600","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"544","POSITIVO","NEUTRO","NEUTRO","POSITIVO"
"7782","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"8021","POSITIVO","NEGATIVO","NEUTRO","NEUTRO"
"4930","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"1827","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"6225","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"1091","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"7181","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"9147","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"5452","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"5488","POSITIVO","NEGATIVO","NEGATIVO","POSITIVO"
"3084","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"6152","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"2640","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"5926","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"9087","NEUTRO","POSITIVO","POSITIVO","NEUTRO"
"4963","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"3675","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"9162","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"7526","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"3960","NEUTRO","NEGATIVO","POSITIVO","POSITIVO"
"3333","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"4911","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"979","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"1729","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"4318","NEGATIVO","NEUTRO","POSITIVO","POSITIVO"
"7282","NEGATIVO","POSITIVO","NEUTRO","POSITIVO"
"8268","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"2795","NEUTRO","POSITIVO","NEUTRO","NEGATIVO"
"5446","POSITIVO","NEGATIVO","NEUTRO","POSITIVO"
"4085","NEUTRO","NEGATIVO","NEGATIVO","NEGATIVO"
"2889","NEGATIVO","POSITIVO","NEUTRO","NEGATIVO"
"1295","NEGATIVO","NEGATIVO","NEUTRO","NEGATIVO"
"4983","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"7275","POSITIVO","NEUTRO","NEGATIVO","NEGATIVO"
"2815","NEUTRO","NEGATIVO","POSITIVO","NEGATIVO"
"1932","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"1640","NEGATIVO","NEGATIVO","POSITIVO","POSITIVO"
"5055","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"859","POSITIVO","NEGATIVO","NEGATIVO","POSITIVO"
"319","POSITIVO","POSITIVO","POSITIVO","NEUTRO"
"2690","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"1160","NEGATIVO","NEGATIVO","NEUTRO","NEUTRO"
"5506","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"5752","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"6158","NEGATIVO","NEGATIVO","NEGATIVO","NEUTRO"
"5515","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"4434","NEUTRO","POSITIVO","POSITIVO","POSITIVO"
"8701","POSITIVO","POSITIVO","NEGATIVO","NEUTRO"
"3035","POSITIVO","NEGATIVO","POSITIVO","NEGATIVO"
"9016","POSITIVO","POSITIVO","NEGATIVO","NEUTRO"
"1657","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"8805","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"8113","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"52","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"5843","NEGATIVO","NEGATIVO","POSITIVO","NEUTRO"
"7539","POSITIVO","POSITIVO","NEGATIVO","NEUTRO"
"1501","POSITIVO","POSITIVO","POSITIVO","POSITIVO"
"2588","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"1832","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"6421","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"6664","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"1517","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"8050","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4116","NEGATIVO","POSITIVO","NEGATIVO","NEUTRO"
"479","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"1360","NEUTRO","POSITIVO","POSITIVO","NEGATIVO"
"4485","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"3102","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"2070","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"7212","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"3015","POSITIVO","NEGATIVO","POSITIVO","NEUTRO"
"3825","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"8553","NEGATIVO","POSITIVO","POSITIVO","NEGATIVO"
"7966","NEGATIVO","POSITIVO","NEUTRO","NEGATIVO"
"5667","NEGATIVO","NEUTRO","NEGATIVO","NEUTRO"
"5612","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"8934","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"6933","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"3208","NEUTRO","NEUTRO","NEGATIVO","NEGATIVO"
"256","POSITIVO","NEUTRO","NEGATIVO","NEUTRO"
"4172","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"2917","POSITIVO","NEUTRO","POSITIVO","NEGATIVO"
"231","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"8281","NEUTRO","POSITIVO","POSITIVO","POSITIVO"
"2952","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"3962","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"8943","NEUTRO","POSITIVO","NEGATIVO","NEGATIVO"
"3191","NEUTRO","POSITIVO","NEUTRO","NEGATIVO"
"6778","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"2072","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"3331","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"8100","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"34","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"8532","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"2703","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"187","POSITIVO","NEGATIVO","NEUTRO","NEUTRO"
"5441","NEUTRO","POSITIVO","NEUTRO","NEGATIVO"
"3194","NEGATIVO","NEGATIVO","NEUTRO","POSITIVO"
"3328","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"4751","NEGATIVO","POSITIVO","NEUTRO","POSITIVO"
"8229","NEGATIVO","NEUTRO","POSITIVO","POSITIVO"
"6460","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"2905","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"5229","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"8107","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"5677","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"7973","NEGATIVO","NEGATIVO","NEGATIVO","NEUTRO"
"826","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"7521","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"5387","NEGATIVO","POSITIVO","NEGATIVO","POSITIVO"
"8572","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"4456","POSITIVO","POSITIVO","NEGATIVO","POSITIVO"
"1733","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"8665","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"2966","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"6348","NEGATIVO","NEGATIVO","NEGATIVO","NEUTRO"
"285","NEUTRO","NEGATIVO","POSITIVO","NEUTRO"
"8628","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"6381","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"6662","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"2451","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"2015","NEUTRO","NEGATIVO","NEGATIVO","POSITIVO"
"4756","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"6641","NEUTRO","POSITIVO","NEUTRO","NEGATIVO"
"1163","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"1534","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"1238","NEUTRO","POSITIVO","POSITIVO","POSITIVO"
"8266","NEGATIVO","POSITIVO","NEGATIVO","NEUTRO"
"8609","NEGATIVO","NEUTRO","NEUTRO","NEGATIVO"
"6677","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"7556","NEGATIVO","POSITIVO","NEUTRO","NEGATIVO"
"6351","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4835","NEUTRO","NEGATIVO","NEUTRO","POSITIVO"
"3185","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4302","POSITIVO","NEGATIVO","NEGATIVO","POSITIVO"
"9107","POSITIVO","POSITIVO","NEGATIVO","NEGATIVO"
"644","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"7472","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"2075","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"2756","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"5086","NEUTRO","POSITIVO","POSITIVO","POSITIVO"
"270","NEUTRO","NEGATIVO","NEUTRO","POSITIVO"
"3746","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"6394","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"3064","POSITIVO","NEGATIVO","NEUTRO","POSITIVO"
"6986","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"9058","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"1302","POSITIVO","NEUTRO","POSITIVO","POSITIVO"
"4288","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"8502","NEUTRO","POSITIVO","POSITIVO","NEUTRO"
"4507","POSITIVO","POSITIVO","NEGATIVO","NEUTRO"
"1150","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"3171","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"623","POSITIVO","NEUTRO","POSITIVO","POSITIVO"
"5834","NEGATIVO","NEGATIVO","POSITIVO","NEUTRO"
"3078","POSITIVO","NEUTRO","POSITIVO","NEGATIVO"
"4665","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"7443","NEUTRO","NEGATIVO","POSITIVO","POSITIVO"
"8065","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"3997","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"4088","POSITIVO","NEGATIVO","NEUTRO","NEUTRO"
"2212","NEUTRO","POSITIVO","POSITIVO","NEUTRO"
"5897","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"9019","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"1586","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"8655","NEUTRO","NEGATIVO","POSITIVO","NEUTRO"
"8190","NEGATIVO","NEGATIVO","NEUTRO","POSITIVO"
"8402","POSITIVO","POSITIVO","POSITIVO","POSITIVO"
"8095","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"5837","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"2446","POSITIVO","NEGATIVO","POSITIVO","NEUTRO"
"2031","NEUTRO","POSITIVO","NEGATIVO","POSITIVO"
"3354","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"7188","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"8476","NEUTRO","POSITIVO","NEGATIVO","POSITIVO"
"4560","POSITIVO","NEGATIVO","NEGATIVO","NEUTRO"
"3110","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"7840","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4138","NEUTRO","NEGATIVO","POSITIVO","POSITIVO"
"2231","NEGATIVO","POSITIVO","NEGATIVO","POSITIVO"
"5382","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"3195","POSITIVO","NEGATIVO","NEUTRO","NEGATIVO"
"4473","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"8861","NEGATIVO","NEUTRO","POSITIVO","POSITIVO"
"3981","POSITIVO","NEUTRO","NEUTRO","NEGATIVO"
"8614","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"6954","POSITIVO","NEUTRO","POSITIVO","POSITIVO"
"8470","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"7582","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"6749","POSITIVO","NEUTRO","NEGATIVO","POSITIVO"
"8257","NEUTRO","NEGATIVO","POSITIVO","POSITIVO"
"1148","NEGATIVO","POSITIVO","POSITIVO","NEGATIVO"
"7795","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"1859","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"3221","NEGATIVO","POSITIVO","NEUTRO","POSITIVO"
"2301","NEUTRO","NEUTRO","POSITIVO","NEUTRO"
"8042","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"8185","NEUTRO","POSITIVO","POSITIVO","NEUTRO"
"8442","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"6407","NEUTRO","NEGATIVO","POSITIVO","POSITIVO"
"3704","NEUTRO","POSITIVO","NEUTRO","POSITIVO"
"6230","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"6316","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"8410","POSITIVO","NEGATIVO","POSITIVO","POSITIVO"
"2108","POSITIVO","NEGATIVO","NEUTRO","NEUTRO"
"7592","NEUTRO","NEUTRO","NEUTRO","NEGATIVO"
"4219","POSITIVO","NEUTRO","POSITIVO","NEUTRO"
"672","NEGATIVO","POSITIVO","NEUTRO","NEGATIVO"
"1283","NEGATIVO","NEUTRO","NEUTRO","POSITIVO"
"1067","NEUTRO","NEGATIVO","NEUTRO","NEUTRO"
"7093","NEGATIVO","NEUTRO","POSITIVO","NEUTRO"
"4045","NEGATIVO","NEUTRO","NEGATIVO","POSITIVO"
"4519","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"4872","POSITIVO","NEGATIVO","NEGATIVO","POSITIVO"
"832","NEUTRO","NEUTRO","POSITIVO","POSITIVO"
"7025","NEUTRO","NEGATIVO","POSITIVO","NEUTRO"
"1220","POSITIVO","POSITIVO","POSITIVO","NEUTRO"
"6144","POSITIVO","NEUTRO","NEUTRO","NEUTRO"
"3214","NEGATIVO","NEUTRO","NEGATIVO","POSITIVO"
"1474","NEUTRO","NEUTRO","NEGATIVO","NEGATIVO"
"6747","POSITIVO","NEUTRO","NEGATIVO","POSITIVO"
"7426","NEUTRO","NEUTRO","POSITIVO","NEGATIVO"
"5936","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"839","NEGATIVO","POSITIVO","NEUTRO","POSITIVO"
"903","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4108","NEGATIVO","POSITIVO","POSITIVO","NEUTRO"
"3001","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"3705","POSITIVO","POSITIVO","NEUTRO","NEUTRO"
"3515","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"8639","NEUTRO","POSITIVO","NEUTRO","NEGATIVO"
"574","NEUTRO","POSITIVO","NEGATIVO","POSITIVO"
"432","NEUTRO","POSITIVO","NEUTRO","NEUTRO"
"3340","NEUTRO","NEUTRO","NEUTRO","NEUTRO"
"4211","POSITIVO","NEUTRO","NEUTRO","POSITIVO"
"4736","NEUTRO","NEGATIVO","NEUTRO","POSITIVO"
"7802","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"596","POSITIVO","NEGATIVO","NEUTRO","NEUTRO"
"5219","NEGATIVO","NEUTRO","NEUTRO","NEUTRO"
"2190","NEUTRO","POSITIVO","POSITIVO","NEUTRO"
"1460","NEGATIVO","NEGATIVO","NEUTRO","NEUTRO"
"2676","NEUTRO","POSITIVO","NEUTRO","NEGATIVO"
"6905","NEGATIVO","NEGATIVO","POSITIVO","NEGATIVO"
"7034","NEUTRO","NEUTRO","NEGATIVO","NEGATIVO"
"5698","NEUTRO","NEUTRO","NEGATIVO","POSITIVO"
"1553","NEGATIVO","NEGATIVO","NEGATIVO","NEUTRO"
"1631","NEUTRO","NEUTRO","NEGATIVO","NEUTRO"
"7535","NEGATIVO","POSITIVO","NEUTRO","NEUTRO"
"7351","NEUTRO","POSITIVO","NEGATIVO","NEUTRO"
"1667","NEUTRO","NEGATIVO","NEUTRO","NEGATIVO"
"7828","NEGATIVO","NEUTRO","POSITIVO","POSITIVO"
"1063","NEGATIVO","NEGATIVO","POSITIVO","POSITIVO"
"3196","NEUTRO","NEUTRO","NEUTRO","POSITIVO"
"6264","NEUTRO","POSITIVO","POSITIVO","NEGATIVO"
